date,order_id,product_id,product_name,quantity,unit_price,total_amount,channel,region,customer_id
2025-11-24,ORD-877572,P002,保濕控油化妝水,1,420,420,momo,台中,C4657
2025-03-13,ORD-191161,P002,保濕控油化妝水,5,420,2100,實體門市,台北,C1488
2025-02-17,ORD-629903,P004,溫和卸妝水,2,350,700,官網,新竹,C4257
2025-11-29,ORD-571029,P007,男士全效保濕霜,2,450,900,momo,台北,C3615
2025-12-24,ORD-391369,P007,男士全效保濕霜,3,450,1350,蝦皮,台中,C6514
2025-02-22,ORD-201414,P002,保濕控油化妝水,4,420,1680,momo,台南,C5333
2025-01-23,ORD-230889,P008,美白淡斑精華,5,780,3900,實體門市,台北,C5803
2025-11-18,ORD-301629,P006,舒緩修復面膜,5,180,900,官網,台北,C4733
2025-05-29,ORD-205907,P002,保濕控油化妝水,2,420,840,實體門市,台南,C8428
2025-11-22,ORD-488162,P006,舒緩修復面膜,2,180,360,momo,台中,C5374
2025-12-26,ORD-765822,P002,保濕控油化妝水,5,420,2100,蝦皮,新竹,C5010
2025-03-25,ORD-383060,P008,美白淡斑精華,4,780,3120,蝦皮,台南,C1916
2025-04-28,ORD-520651,P001,控油潔面凝膠,3,380,1140,momo,台北,C4456
2025-10-18,ORD-787277,P006,舒緩修復面膜,2,180,360,實體門市,高雄,C8517
2025-03-15,ORD-358607,P005,毛孔緊緻精華液,2,680,1360,momo,新竹,C8019
2025-10-26,ORD-329974,P007,男士全效保濕霜,3,450,1350,蝦皮,新竹,C9085
2025-02-16,ORD-260265,P001,控油潔面凝膠,1,380,380,蝦皮,高雄,C2040
2025-07-17,ORD-590785,P007,男士全效保濕霜,5,450,2250,momo,新竹,C1188
2025-12-15,ORD-887352,P002,保濕控油化妝水,5,420,2100,momo,台南,C2827
2025-05-31,ORD-575763,P007,男士全效保濕霜,2,450,900,官網,台南,C9201
2025-04-02,ORD-982554,P002,保濕控油化妝水,3,420,1260,蝦皮,台中,C7126
2025-03-24,ORD-439902,P001,控油潔面凝膠,5,380,1900,實體門市,台北,C2832
2025-07-05,ORD-160738,P005,毛孔緊緻精華液,2,680,1360,蝦皮,新竹,C2290
2025-02-13,ORD-897549,P008,美白淡斑精華,1,780,780,蝦皮,台中,C8787
2025-10-09,ORD-653306,P003,清爽防曬乳 SPF50+,3,520,1560,實體門市,台中,C9835
2025-12-20,ORD-518373,P004,溫和卸妝水,3,350,1050,momo,高雄,C9479
2025-08-20,ORD-167136,P002,保濕控油化妝水,3,420,1260,momo,台北,C4770
2025-10-29,ORD-174441,P004,溫和卸妝水,1,350,350,官網,台中,C2104
2025-01-17,ORD-639131,P006,舒緩修復面膜,1,180,180,蝦皮,台南,C8953
2025-04-20,ORD-704201,P003,清爽防曬乳 SPF50+,5,520,2600,實體門市,台中,C8749
2025-07-28,ORD-201639,P004,溫和卸妝水,1,350,350,實體門市,台南,C7939
2025-07-30,ORD-806073,P008,美白淡斑精華,1,780,780,官網,台北,C7596
2025-06-23,ORD-299448,P002,保濕控油化妝水,3,420,1260,實體門市,台中,C7912
2025-04-04,ORD-361941,P005,毛孔緊緻精華液,4,680,2720,官網,高雄,C2604
2025-01-26,ORD-890170,P001,控油潔面凝膠,1,380,380,蝦皮,台中,C7658
2025-09-06,ORD-520521,P008,美白淡斑精華,2,780,1560,官網,台中,C7209
2025-01-02,ORD-922157,P007,男士全效保濕霜,3,450,1350,實體門市,台南,C7930
2025-12-23,ORD-299122,P008,美白淡斑精華,2,780,1560,momo,台中,C1958
2025-10-24,ORD-159942,P001,控油潔面凝膠,3,380,1140,官網,新竹,C8811
2025-09-15,ORD-632496,P003,清爽防曬乳 SPF50+,1,520,520,官網,台中,C2122
2025-11-01,ORD-523389,P002,保濕控油化妝水,2,420,840,官網,新竹,C5033
2025-10-24,ORD-185965,P001,控油潔面凝膠,5,380,1900,實體門市,新竹,C9565
2025-06-11,ORD-802258,P005,毛孔緊緻精華液,2,680,1360,momo,台中,C5351
2025-07-22,ORD-431535,P003,清爽防曬乳 SPF50+,5,520,2600,官網,台北,C8508
2025-11-15,ORD-663750,P002,保濕控油化妝水,1,420,420,蝦皮,新竹,C5345
2025-03-09,ORD-356150,P006,舒緩修復面膜,1,180,180,momo,台南,C3584
2025-08-13,ORD-946305,P005,毛孔緊緻精華液,5,680,3400,官網,新竹,C5905
2025-12-06,ORD-377312,P002,保濕控油化妝水,2,420,840,官網,台北,C3546
2025-05-20,ORD-320861,P005,毛孔緊緻精華液,5,680,3400,momo,台中,C5325
2025-09-16,ORD-987204,P008,美白淡斑精華,3,780,2340,官網,台北,C7939
2025-05-22,ORD-449759,P001,控油潔面凝膠,1,380,380,蝦皮,台南,C3647
2025-08-15,ORD-110139,P007,男士全效保濕霜,5,450,2250,官網,台北,C3442
2025-10-07,ORD-710805,P001,控油潔面凝膠,3,380,1140,蝦皮,高雄,C3088
2025-01-22,ORD-934794,P005,毛孔緊緻精華液,3,680,2040,官網,台南,C4441
2025-12-16,ORD-470858,P004,溫和卸妝水,1,350,350,實體門市,新竹,C3532
2025-05-02,ORD-532322,P003,清爽防曬乳 SPF50+,2,520,1040,官網,台中,C6442
2025-07-30,ORD-266931,P004,溫和卸妝水,3,350,1050,官網,高雄,C1634
2025-08-29,ORD-956253,P004,溫和卸妝水,2,350,700,實體門市,台南,C6000
2025-04-27,ORD-792094,P004,溫和卸妝水,1,350,350,蝦皮,高雄,C6378
2025-05-23,ORD-468203,P002,保濕控油化妝水,3,420,1260,實體門市,新竹,C6425
2025-01-15,ORD-287241,P002,保濕控油化妝水,3,420,1260,momo,台北,C2776
2025-11-02,ORD-863934,P007,男士全效保濕霜,3,450,1350,momo,高雄,C9379
2025-03-01,ORD-299312,P007,男士全效保濕霜,5,450,2250,momo,台北,C8144
2025-01-01,ORD-552248,P004,溫和卸妝水,3,350,1050,官網,台南,C6143
2025-12-06,ORD-631756,P002,保濕控油化妝水,3,420,1260,momo,高雄,C6344
2025-07-26,ORD-233470,P005,毛孔緊緻精華液,5,680,3400,蝦皮,高雄,C7211
2025-12-13,ORD-696750,P003,清爽防曬乳 SPF50+,5,520,2600,momo,高雄,C9977
2025-01-01,ORD-320392,P005,毛孔緊緻精華液,3,680,2040,實體門市,新竹,C6279
2025-08-27,ORD-808446,P008,美白淡斑精華,4,780,3120,蝦皮,新竹,C8752
